Model,Category,Question,Expected Answer,Prompting Method,Response,Correct
GPT-Neo,Math,What is 2 + 2? Answer with a number.,4,standard_prompt,2,False
GPT-Neo,Math,What is 2 + 2? Answer with a number.,4,cot_prompt,A:,False
GPT-Neo,Math,What is 2 + 2? Answer with a number.,4,standard_prompt,2,False
GPT-Neo,Math,What is 2 + 2? Answer with a number.,4,cot_prompt,A:,False
GPT-Neo,Reasoning,"If today is Monday, what day is tomorrow? Answer with one word.",Tuesday,standard_prompt,"Sunday, December 18, 2012",False
GPT-Neo,Reasoning,"If today is Monday, what day is tomorrow? Answer with one word.",Tuesday,cot_prompt,1. The day of the week.,False
GPT-Neo,Reasoning,"If today is Monday, what day is tomorrow? Answer with one word.",Tuesday,standard_prompt,Monday is the day of the week.,False
GPT-Neo,Reasoning,"If today is Monday, what day is tomorrow? Answer with one word.",Tuesday,cot_prompt,The first time I saw the word �,False
GPT-Neo,Coding,Write a Python function to add two numbers. Answer with code only.,"def add(a, b): return a+b",standard_prompt,A:,False
GPT-Neo,Coding,Write a Python function to add two numbers. Answer with code only.,"def add(a, b): return a+b",cot_prompt,A:,False
GPT-Neo,Coding,Write a Python function to add two numbers. Answer with code only.,"def add(a, b): return a+b",standard_prompt,A:,False
GPT-Neo,Coding,Write a Python function to add two numbers. Answer with code only.,"def add(a, b): return a+b",cot_prompt,A:,False
GPT-Neo,Multiple-Choice,"What is the capital of France? Choose A, B, or C.
A) Berlin B) Paris C) Rome",B,standard_prompt,A:,False
GPT-Neo,Multiple-Choice,"What is the capital of France? Choose A, B, or C.
A) Berlin B) Paris C) Rome",B,cot_prompt,B) Paris,True
GPT-Neo,Multiple-Choice,"What is the capital of France? Choose A, B, or C.
A) Berlin B) Paris C) Rome",B,standard_prompt,The capital of France is the capital of,False
GPT-Neo,Multiple-Choice,"What is the capital of France? Choose A, B, or C.
A) Berlin B) Paris C) Rome",B,cot_prompt,A:,False
